lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,13079371.130154803,13091367.73754492,13355144.264481593,13543379.576103803,14669431.54550446,15368126.782834642,16100743.586289689,15806755.755528472,15639870.900450192,15431975.454908226,14948864.79057731,15647362.018089544,15749485.79458614,15016048.662708018,14897744.75351451,16186865.978054125,16430989.663864896,16466445.978286522,19153835.067631274,21431276.28378836,20827525.634937696,18331747.960812047,17592844.850619808,16680689.212010652,15377002.08031757,14370915.457053259,12417552.66350288,10216916.826873947,8850491.866963156,7792103.861705994,7655273.226243921,7675026.827600045,8093371.229589242,8743173.958235972,8832646.881591806,9013112.940621682,9182411.68200624,10141788.753418416,10133869.505303223,9995081.742553933,9825263.796143098,10093964.051183045,10183226.72259763,10119777.591708358,10330336.782481667,10801313.516399402,10599601.444038874,10403157.498668099,9918826.198061079,9370722.6968706,9098055.571905954,8805526.251186943,8647360.743752684,8537127.72377228,8673187.68815243,9243139.667981986,9882063.35648898,11099337.846733179,12286581.290658474,12305452.177414685,11737935.133435454,11119152.490204494,11532479.142778696,10720039.399808988,10985927.226847056,11247173.688378667,11336443.193259187,11413876.134427255,11468682.392826442,11868092.919362389,12006430.426873064,12247430.611519814,11990220.655537669,11824252.927906882,11411446.029979892,10882344.271138258,10992279.052072324,11154478.517829366,11170143.448378563,11239522.598616898,11333278.614142269,11527337.84925446,11979984.143514324,11962656.20844614,12338486.616435226,12529386.0124074,12587847.34932505,12635682.892484467,12167348.59336019,12053568.008238725,12053158.992800098,11949592.14351342,11911097.100655742,12165231.226582957,12494756.259369384,13105913.624124493,13271420.45554909,12553116.834233236,13190900.763519293,14518279.88566586,13350398.330624888,12401353.617238093,12371885.906096421,12377449.225680636,13182060.889993403,13648065.40241215,13698376.5985743,13568555.05836327,13514307.504335355,13562815.260036323
10,7,5,14572402.938287484,13424330.548706502,12808180.2130664,13230820.592297127,12599539.37080618,12003277.25854785,11618712.256315138,11862893.694295907,12496601.032984942,13519200.547694186,13984622.026019424,13651009.118806336,15004034.497319423,14889249.084461719,15790755.300976869,16186582.532165576,16328374.276979288,16684211.006995639,16519370.648948599,16958436.831123054,17532092.427882798,17788153.495282415,17454251.1702903,16023794.1625921,14739676.58994557,13477937.03681617,11342907.937148614,9360938.636336558,8050694.184838025,7496658.838553744,7273585.529297348,7571679.05173249,7839664.687904497,7890924.377958165,8072533.700782092,8192026.7639505025,8770626.244407985,8002499.202221411,8143269.305265883,8363876.708525525,8936861.441492977,9205957.22573106,8774937.276187886,8869163.246988133,10393371.73904382,11829942.216463536,11969534.430810355,10335227.388252134,10429801.721120114,10761077.89002495,10922548.680361357,11231160.56291683,11426229.096243316,11414046.362847669,10994431.868812073,10411152.743377585,10969975.269802555,11207806.14232999,10516491.779463062,11746908.337022189,11548264.466923814,11649269.358347522,11062054.842038304,10244127.001305861,10778349.280483656,11394951.240510281,11713735.59140721,12360885.250389125,12670371.955903929,12791474.402442943,12133098.757774774,11794611.142158974,11755673.869062368,11719227.576118845,11572966.789842468,11101936.591894098,11041584.597278116,11228962.613530464,11050449.471395753,11045696.20405934,11225979.060460865,11128883.006501945,11668227.17167411,11885744.127183072,11739477.152893163,11858463.107869703,12015946.244295891,12161281.075922437,12320011.060875855,11085286.923026945,11188180.786878604,11217644.027330268,11271642.585052006,12133644.823620955,12175202.230430074,12049340.61917012,12309475.998796092,12992034.005224906,13714618.411287963,13315799.867466731,13697156.339333849,13197778.198800476,12979429.54564809,12904064.359214516,12692884.890839526,12746195.63451134,13343227.014508838,14138247.762925003,15097226.552857134,15309744.688091023
15,12,10,14935081.970921434,13750268.77804652,12516517.761924997,10596912.587807637,10207784.933652677,10259142.067774508,10870422.580327807,11964945.641692918,12584923.75069544,14401662.037066147,14516380.49663224,14166858.004356857,13945048.398559535,13468297.724768184,14086267.511386879,14518839.376253206,14645685.68141234,15018553.308315247,13684951.061393555,11266593.345491122,11836596.83512225,14722127.278216166,15682567.964866685,15849510.46412678,14463207.716147244,11892479.791151095,10235883.120046798,9428002.333881773,9008466.351577656,8401675.616602313,8349265.867256934,7966400.244445631,7858541.359277826,8041157.1761039095,8271889.218668465,8576025.578309195,7871166.189250579,7962069.221340217,7885294.374302468,8024095.223500835,8223518.780777017,9358757.184462912,10677747.428641792,11006370.417149179,10310117.668537509,10350836.341182254,9735619.387531526,10366717.481959838,10758235.266715892,11610904.034419827,11706120.02557287,11760722.218178555,11829149.969704,11958303.394676315,11964481.94945755,11927006.371381517,11513201.105423883,10972982.98438659,11528177.663293604,10888146.13336541,12082762.56508506,12364375.790337991,11603250.222392382,11478802.963749524,11160484.909713905,11490510.315778648,12167359.114924941,12421069.780577246,12595807.462295983,13180560.917855317,13274278.976250347,12810236.369093316,11952041.627462551,11110518.109063033,10697469.942556642,10395237.504299935,10357228.893419193,10288907.2129816,10097493.341865603,10215451.468153786,9595242.981235549,9706449.527563458,10014159.368682541,9878790.966282971,10340436.495838799,10714269.270850431,10717452.617652152,10682244.444504704,9830346.334968867,10116351.310098551,10105862.874174036,10186776.670057029,10413704.01482882,10970829.278545309,10551004.911239676,10845672.407196987,11266442.370532349,12391350.191241795,12406196.907828268,12358821.135302184,12867610.50026359,13764668.186804336,14133638.76266985,14138444.443693817,13710653.865878329,13763268.334046401,13603625.087300587,13840988.66379251,13532743.644741505,13738387.291151501
20,17,15,12682788.919052046,12396292.056985863,11117268.409587864,10479367.328696303,10141392.424227573,9845840.121452112,9844267.549511496,10150775.646871801,11086328.019746788,11971299.141144134,12523969.0100122,12694953.643757053,11317190.09482126,11071842.782096025,11391082.012496889,11470090.719798308,11874254.079401076,12236511.407300994,10621617.90311213,11362338.888001213,9980862.416366788,10843898.156793406,11442389.6660855,12901430.25342153,13218940.605231093,13072360.889546383,11766842.267341489,10449346.955061622,9149952.901810557,8938981.732702741,9376859.274601674,9415613.381807718,9346610.050049182,9249553.850078188,8788077.39309629,8565112.6132804,8462343.32180592,8666454.637139566,8874690.745672293,9479127.716441836,10351468.001588633,10205610.469177475,8877800.95289195,9600943.216737106,8795608.115250917,7004859.422559671,9388169.566908494,10834279.600841513,11037968.975428369,11842239.076128714,11998962.829189353,11851405.413412057,11948454.448233621,11930694.84528067,12097570.434539711,11945132.814163921,12018600.950963821,12485594.38379309,11557801.112105798,12578626.259099249,12365031.803519871,13314139.087507103,13586624.211305656,12695455.747988489,11997446.458693095,12597015.310358837,12067593.179805772,11963300.220057549,12563926.77259592,12934964.722919825,12550221.143137231,12345944.430792805,12365550.934845127,12153229.291345268,11341705.54483426,10501951.695999827,10118050.305827707,9653747.742186915,9481601.700325485,9542544.247815318,9935035.673491271,9818676.532719348,9221826.62710636,8996854.184405126,8810016.434100278,8632783.470596757,8450349.918235153,8424066.250070726,8860645.221196953,9674910.553856418,9375855.417451913,9179601.745673483,9143872.173615187,8747004.25886457,8865105.396358747,9274193.027671354,9946672.120720001,10880401.471964467,11269687.411747009,10794288.084793583,11186575.725501556,12328472.146077054,12444661.007456057,13244386.020382032,13802096.35515334,14336592.484251734,14486298.918328658,14705613.380963713,14759839.71403556,14725519.512380596
25,22,20,11537707.218105748,11582170.618008895,11625854.602855675,11368134.530816931,10401773.217732446,8588160.955008186,8057935.60168115,7373720.439573097,6913160.7119031865,8312590.260403062,9558679.171035416,10639003.470864985,9859988.743204854,9540598.455871623,9330267.504548442,9412639.946791563,10195686.837602166,10705603.843058309,11258310.214728225,10657309.040618574,10294745.877547145,9438298.530933676,8070822.154317985,7540951.091379318,9857213.975020517,11792018.30896569,12686164.73999466,11688097.298207724,10559761.417765554,9604115.127290092,9159527.204411454,9347599.932475641,9857936.264018206,10124575.002182802,10413198.67003601,10114616.536784757,10086551.76100191,10354683.51644869,10371754.145816367,10361271.483809536,9934445.774146881,9356127.752211181,8635070.2982942,6879259.997674827,5819435.221951736,7016187.2958987625,9550988.4005112,10269109.953517657,10847084.257912943,11357799.230438964,11440796.241011973,11714821.258094367,11744561.210229138,11881708.236640634,12265092.456985418,12476439.612892497,12381964.466479018,12099163.438373534,12768198.80802781,12005204.672678927,11478989.99239064,11089798.906383947,12139344.29539501,12855312.155899055,12700955.714762785,12749217.957470171,13276994.337970465,13229102.933417402,13065321.433496512,13474747.1372951,12780192.97193437,12091355.857565545,11036162.693131886,10495082.456469744,10285885.782338005,10913952.049234059,10454066.203071201,9870514.763873883,8924191.74178059,8390804.093785252,9139914.995099515,10203974.050211072,10008473.408265729,9309547.640131945,9252451.377808947,9234761.949408036,8929305.796559826,8590219.594025288,7678985.100264335,7805362.43519037,8004526.046582977,8278067.7886979915,8630618.678811165,8897314.84661397,9249239.299939068,9410998.490243107,9651943.668728013,8941645.638830569,8594384.481903147,8876001.220530868,9814616.776795711,11124274.55000543,11443992.665609369,11978392.45574332,12435791.320897438,13187970.284739617,13993083.860372743,14356400.142318822,14512764.22585267,14605657.739200214
30,27,25,11166110.97124552,11006800.157361884,11440680.450859506,10392243.069914356,8674246.484379975,7835488.638635858,6270799.770146569,5364095.549369103,5920434.889305332,8023611.695682094,7995138.92235781,9056965.166624278,9356827.425920513,9645247.54273831,9632071.66460602,10262713.996346734,9668819.51376553,10029916.027276412,10438377.360201456,10678768.747238433,9751766.478343075,6937338.9695134815,6174984.007775698,6482719.088384639,7629111.234492977,9411543.741429387,11331353.934719909,12785477.910193754,11431638.850618007,11405874.426319651,10032349.835757283,9558918.800858947,9958679.80105574,10124200.554042973,10569424.192795366,10541863.194301495,10016425.830338724,9451799.477624573,8847156.596110016,8890347.915588368,8705805.265427236,8089212.760727454,7206723.13302183,6121499.844649895,7541623.93558979,10048297.549192391,8373018.224250241,10601628.051178426,10847338.764553854,11191679.297357462,11246788.843073245,11586412.981152687,11617701.911821483,11697048.400307447,11617749.717221152,11546924.3991481,11968850.077353554,11526744.957382517,11650157.283284657,11869897.360326752,11454962.870304044,11556969.30275663,11837470.93181071,13602607.913416589,14666632.261872793,15168202.245978367,14482971.850148417,14681172.162192902,14557543.942718534,14298194.760037594,13673777.766693138,12653069.052735109,11995049.33551735,11048943.836362075,11870887.691847099,12456273.575597614,12668485.705823824,12688151.796937361,12084637.793833956,11293171.030265696,10593742.66972351,10848301.7427671,10438967.037093613,10161910.48224371,9323690.162485354,8797894.282037754,8574290.359478146,8408929.50483105,8543355.53753263,8399557.969798388,8821069.3428446,9287069.07458624,9333657.446291659,9535533.696734734,10106516.166614525,10410649.566780958,10135633.789112253,9980925.624342347,10286742.49756274,11062434.45939738,11028625.629692733,10887431.801462468,11497106.310041502,12457759.970355188,12871642.067740511,13106399.581103045,13256929.89043158,13357804.744867392,13769100.557559738,14162522.016676862
35,32,30,12069454.822206067,11050978.052200003,9395400.458718603,9063887.520801913,7471423.869648537,5469466.698447853,5541397.297219917,5469043.205421507,6626531.6885347525,7802459.548490755,7850292.4936904805,7964254.348146163,8198948.384513322,8952274.083862772,9683554.742944248,9116362.531925812,10119191.704806035,10070295.175616227,9214790.834249146,9272692.448033417,8054591.320913527,7753697.184387584,6713891.4131774865,7016756.050158207,7543647.2461191155,8594600.148506517,11173071.648800902,13567537.457562143,13352908.926015936,12606101.203999009,11984897.278668592,11190472.06728719,10173462.362205148,9574719.583040327,8539484.963335523,7876108.613218999,8037337.4798235055,9090581.464418916,8571370.687623413,8375075.144774361,7018933.4467494,6480577.7556734,8479072.200368267,9883871.536941664,10448421.757234974,10812901.517876143,10835863.547855709,9577763.01300587,10546245.199273068,10678670.889411442,10878955.611396104,11233337.559544092,11152355.458193865,11061303.8706408,10989935.075820591,11367101.644155838,11486550.944162479,12654455.395768002,12032315.613912323,12912741.150720095,14089507.957199162,14541842.920374524,14277304.20659336,14045685.634052183,14041876.99229234,14305970.72788031,13988088.89589084,14064248.206272287,13894285.631742198,14306182.48776777,14348733.498531455,14192634.539524112,14711186.531023711,15152876.174740346,14555249.05702477,13267379.04960667,13180253.14756421,13060043.75171018,13290497.003498584,13231098.903131787,13802339.363795256,13740074.149499124,13289013.606861023,12567605.436540965,11730039.142941305,10850984.184308268,10495957.142077304,10217064.579061298,10164864.16219103,11267096.940669902,11083646.150837043,11533256.194163058,12263682.988433827,12437825.236395104,12303874.709460923,11952665.663412165,11947684.120086927,12235541.195588432,12537279.145764835,13065221.635404075,12906844.694624532,12910189.36021335,12970752.430532195,12476595.248501835,12272546.097712163,13245089.046483252,13367034.166903608,13481745.963842414,13671024.086171024,14070358.590325797
40,37,35,9902932.900142023,11261919.592391646,10011199.78128253,8338584.206404116,8767729.088406453,8364582.629554639,7314620.661343322,7330150.849959971,8705942.108619578,8352597.057284936,7891941.1710464675,7352746.459067311,7986948.049103724,8968402.525443386,9294537.971179372,9908698.215118779,9806001.622049008,9855197.80152543,8951860.106993496,7659041.337981412,7576125.861274476,6884491.024695644,6993575.106771084,7785575.405440839,8609272.361881798,9201720.7356426,10839849.973173074,11402271.92908613,11961245.539713863,13175509.99827969,10818716.491082532,9187892.860322272,7712137.818478917,7055262.5522251045,7129344.641122437,7102307.050892319,7970047.308809423,8782484.146704612,10017110.232258124,11604407.738800533,11097459.56444065,10540414.452208739,10876005.0130497,10876460.633452022,10917834.813439816,11359466.289060954,11495454.709142148,10953249.179572849,9515849.34949162,10389821.310262563,10406209.024565713,10515115.146063123,10662454.66904151,10879098.398673996,11563600.002699893,13285718.148123484,13998950.984098772,13534834.792515421,13718229.356873028,14008388.433178388,14627720.76846929,14581992.688373473,14814109.247921482,15146568.92322705,14454497.93064059,14588712.830596052,15016019.368803833,14706651.633229557,14065920.098574657,13901111.807271363,14026333.904835828,14510449.987719115,15080220.312678184,14866623.326784551,14186264.386076555,15875814.624761697,16299629.807307832,16313411.70232328,14865356.89011173,14003715.119345762,15050541.664743405,14730178.319932753,14805774.536760017,15346885.881895358,15140370.417011745,13879858.584562652,13389982.843634069,12694630.290311648,13404741.555780517,14003944.483573444,14577187.141986752,15013872.390895875,15400331.829830825,15406518.524548296,15354717.853545256,15376182.057060214,16179392.043856712,16612071.389174338,16661842.713739354,15510919.738061765,14120270.471156497,13060305.72118716,12729533.694094695,12560980.880353343,12729895.724247463,13203227.758419259,13072948.64334803,12430548.930997202,11839325.786206769,11615881.222848857
45,42,40,9385506.092111114,8623178.603551466,8805238.620728277,8578080.789669491,7893300.574297366,8808664.61064178,8866627.06439849,9736860.322234342,9285536.694346115,7547691.657325438,7245560.456044208,7324165.78085289,8414424.04595396,8606794.829548225,9138660.51664032,9258008.351901287,9313910.894002056,9998079.811100828,10443459.568824565,8330793.684834176,6483152.358112001,7045430.595373467,7619213.831600414,7595328.769085825,6724906.209607763,8365036.874759796,8002616.971443579,9821245.641737418,10758952.334990367,11530301.00106148,12209676.7938408,10765208.907607935,8451605.821681745,8025347.268314124,7792793.769094167,8012357.986603364,10006901.193726052,11032332.372265529,11077091.108021723,11539070.072982784,11603767.351746889,11806926.054705765,11897034.186347216,11284255.442690704,10251774.48490535,10816682.822220773,11602634.573081058,11155245.25599496,11423325.425047398,11076808.844002478,10967535.467654634,10944131.73734399,11444483.533423724,12120600.278838333,14018540.44296426,14923806.28346396,14311630.234930301,13826894.732616886,13828664.601551306,13732215.043923356,13292586.763258573,13326709.886891302,13619046.59205506,14373765.126903258,15468442.270644674,15402857.117175251,14641881.041296545,14853335.69609539,14954516.958968315,14387667.620685153,13892528.714773305,13441163.211470082,13128498.495722838,13796866.825174008,15669485.595668104,16233460.231173426,16437955.533989577,16951052.902190596,17276263.405404832,16183666.140931625,12283908.39662182,12741043.761628665,12756290.022423744,12975331.356999021,14745032.085226722,15338213.037920674,16486829.187056003,16821413.054146774,16832211.593059633,16360382.281412546,16202472.989138015,16444281.219690302,16659162.97950577,16495614.781969719,16424381.256587308,16314220.900494695,16116692.546963641,15775957.16129941,15353746.078096889,15284174.805534936,15044578.83642656,14614256.808398765,14621269.332184158,14177298.662229441,14101755.939802771,13892461.75448654,12930892.511381749,12178939.638041679,11310689.65044811,11276784.1619596
50,47,45,7756524.156493179,8004100.567958289,7838043.051253144,8347541.962849787,8989518.51485623,8449666.297157608,10730947.92808022,11269739.542002482,9456559.062720567,8418967.629898231,8204577.767146517,8306614.2152355425,7639164.020268093,7994721.612623474,8535051.37900823,8303082.79992185,8923713.579959108,8707679.486738706,7280350.227272903,9276546.269935226,7120487.5886302395,7515185.186708948,8177864.621343432,6511485.460678411,6714352.9166221,6687375.258595012,7873244.491865747,8975114.058481818,10834613.553642362,12907022.511733145,13394327.119313616,13866675.551940925,13616721.674877651,11695186.585777355,11624321.297090162,11866455.921104072,11564618.152492078,11234860.091319107,11305517.232675493,11068387.160668265,10962690.409273041,10820575.432987625,11131414.165005047,11773831.917919684,11302215.087629475,10972971.743380781,10417031.53446697,11121165.28787411,11663304.937924376,12393237.249519434,12830089.925679728,13600860.65843958,14366734.252848256,14484046.098851833,13515014.229706028,11879205.014870454,11704273.331787467,12626377.831511494,12559153.969903909,12532659.767709088,11926478.444333833,12228295.521231927,12319987.136923194,13148513.03446782,12834487.780171305,13541020.21269939,14185308.169587143,13390337.673612237,12936867.06210484,12364778.386412207,12484529.865828864,12417176.20708791,12940895.74704155,14331189.871983664,14708897.785351247,14410618.381330363,14486871.375115566,14487982.938046258,14846923.654175492,14463635.934949007,15041078.180983078,13430337.132938895,13659488.701119898,14135420.036430458,14223763.547752835,13634448.838963825,13718225.686329022,15018320.75356036,13978695.469508544,14258395.736863531,14098002.806763891,13968101.669849299,13717488.141407263,13433281.239343755,13221267.489802215,13188607.959080834,13181992.075796552,13507860.489923397,13762161.223054972,13488695.142699458,13471045.964806417,13646278.874217918,13364270.699088259,12588480.388618171,11800640.303161323,11456096.484749207,12042688.206390038,12287398.905569978,12669693.981499773,12504769.474974915
