AGE (MA),LATITUDE FROM POLE,GLACIATED REGION,REFERENCE
0,50,USA Midwest,Ehlers & Gibbard (2007)
1,50,USA Midwest,Ehlers & Gibbard (2007)
2,40,Canada,Ehlers & Gibbard (2007)
3,30,Greenland,Ehlers & Gibbard (2007)
4,30,Greenland,Ehlers & Gibbard (2007)
5,30,Greenand,Ehlers & Gibbard (2007)
6,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
7,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
8,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
9,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
10,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
11,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
12,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
13,30,Antarctic Peninsula,Ehlers & Gibbard (2007)
14,25,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
15,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
16,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
17,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
18,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
19,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
20,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
21,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
22,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
23,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
24,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
25,20,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
26,25,Antarctica,Dingle & Lavelle (1998); Troedson & Riding (2002)
27,30,Antarctic Peninsula,Ivany et al. (2006)
28,30,Antarctic Peninsula,Ivany et al. (2006)
29,30,Antarctic Peninsula,Ivany et al. (2006)
30,30,Antarctic Peninsula,Ivany et al. (2006)
31,30,Antarctic Peninsula,Ivany et al. (2006)
32,30,Antarctic Peninsula,Ivany et al. (2006)
33,30,Antarctic Peninsula,Ivany et al. (2006)
34,20,Antarctica,Zachos et al. (2001); De Boer et al. (2010)
35,10,Antarctica,Zachos et al. (2001); De Boer et al. (2010)
36,10,Antarctica,Zachos et al. (2001); De Boer et al. (2010)
37,10,Antarctica,Zachos et al. (2001); De Boer et al. (2010)
38,0,-,Crowley (1988)
39,0,-,Crowley (1988)
40,0,-,Crowley (1988)
41,0,-,Crowley (1988)
42,0,-,Crowley (1988)
43,0,-,Crowley (1988)
44,0,-,Crowley (1988)
45,0,-,Crowley (1988)
46,0,-,Crowley (1988)
47,0,-,Crowley (1988)
48,0,-,Crowley (1988)
49,0,-,Crowley (1988)
50,0,-,Crowley (1988)
51,0,-,Crowley (1988)
52,0,-,Crowley (1988)
53,0,-,Crowley (1988)
54,0,-,Crowley (1988)
55,0,-,Crowley (1988)
56,0,-,Crowley (1988)
57,0,-,Crowley (1988)
58,0,-,Crowley (1988)
59,0,-,Crowley (1988)
60,0,-,Crowley (1988)
61,0,-,Crowley (1988)
62,0,-,Crowley (1988)
63,0,-,Crowley (1988)
64,0,-,Crowley (1988)
65,0,-,Crowley (1988)
66,0,-,Crowley (1988)
67,0,-,Crowley (1988)
68,0,-,Crowley (1988)
69,0,-,Crowley (1988)
70,0,-,Crowley (1988)
71,0,-,Crowley (1988)
72,0,-,Crowley (1988)
73,0,-,Crowley (1988)
74,0,-,Crowley (1988)
75,0,-,Crowley (1988)
76,0,-,Crowley (1988)
77,0,-,Crowley (1988)
78,0,-,Crowley (1988)
79,0,-,Crowley (1988)
80,0,-,Crowley (1988)
81,0,-,Crowley (1988)
82,0,-,Crowley (1988)
83,0,-,Crowley (1988)
84,0,-,Crowley (1988)
85,0,-,Crowley (1988)
86,0,-,Crowley (1988)
87,0,-,Crowley (1988)
